iter	Logloss
0	0.6728778076
1	0.652604126
2	0.6351295166
3	0.6185673828
4	0.602442749
5	0.5896852417
6	0.5785085449
7	0.5662167358
8	0.55628302
9	0.5469940186
10	0.5393411865
11	0.5322857056
12	0.5250695801
13	0.5195507812
14	0.5145477905
15	0.5093606873
16	0.5043235168
17	0.5002617798
18	0.4957710266
19	0.4923311768
20	0.4887773437
21	0.485223938
22	0.4823257141
23	0.4797644958
24	0.4764644775
25	0.4740561523
26	0.471148407
27	0.4689373169
28	0.4664870605
29	0.4640589294
30	0.4620075684
31	0.4600093689
32	0.4581720276
33	0.4566079407
34	0.4551049194
35	0.4537046509
36	0.4525427246
37	0.4510406799
38	0.4496409912
39	0.4483288574
40	0.4470421143
41	0.4457457886
42	0.4443346558
43	0.4430050964
44	0.4416734619
45	0.440821106
46	0.4394650269
47	0.4383535767
48	0.4375446472
49	0.4365896606
50	0.4354725037
51	0.4346253052
52	0.4336917114
53	0.4329923096
54	0.4320003052
55	0.4307129822
56	0.4295550537
57	0.4285045166
58	0.4278776245
59	0.4269554443
60	0.4259141541
61	0.4250777588
62	0.4242870789
63	0.4234124146
64	0.4227955017
65	0.421962738
66	0.4212911987
67	0.4205701904
68	0.4200665894
69	0.4191553345
70	0.4185488281
71	0.4178764038
72	0.4170911865
73	0.4163995972
74	0.4157686462
75	0.415286377
76	0.4144953003
77	0.4138602295
78	0.4132817993
79	0.4126903076
80	0.4118793945
81	0.411331604
82	0.4108914185
83	0.4103651123
84	0.4096950684
85	0.409071167
86	0.4086017761
87	0.4081187439
88	0.407681427
89	0.4072485657
90	0.4067772522
91	0.4063961792
92	0.405881897
93	0.4050291138
94	0.4045277405
95	0.4039205017
96	0.4035441895
97	0.4030798035
98	0.4026480713
99	0.4021082764
100	0.4016972046
101	0.4011793823
102	0.4007161255
103	0.4000260925
104	0.3996516113
105	0.3991110535
106	0.3987492371
107	0.3983516235
108	0.3979431763
109	0.3974848633
110	0.39698349
111	0.3964139404
112	0.3960120544
113	0.3953293762
114	0.3948917236
115	0.394465271
116	0.3939066772
117	0.3933773499
118	0.3930257874
119	0.3925301514
120	0.3922971191
121	0.3917870178
122	0.3914448853
123	0.3910037842
124	0.3904205322
125	0.3900797424
126	0.3896765137
127	0.3891897583
128	0.3888180542
129	0.3882820435
130	0.3879962769
131	0.3874864197
132	0.3867729492
133	0.3864120789
134	0.3860805969
135	0.3858075867
136	0.385359375
137	0.3851789856
138	0.3846610718
139	0.3844625854
140	0.3839602966
141	0.3834529419
142	0.3829685669
143	0.3825639648
144	0.3821568298
145	0.3817012329
146	0.381274231
147	0.3808170776
148	0.3803124695
149	0.379992981
150	0.3795348511
151	0.3791421204
152	0.378879303
153	0.378522644
154	0.3783314819
155	0.3778526611
156	0.3774846497
157	0.3771328735
158	0.3767349854
159	0.3765118713
160	0.3760620422
161	0.3758786011
162	0.3755522766
163	0.375002594
164	0.3747903442
165	0.3741494141
166	0.3739996948
167	0.3735348816
168	0.3730775757
169	0.3727426453
170	0.3724605103
171	0.3722191772
172	0.3719233398
173	0.3716399536
174	0.3712377014
175	0.370678894
176	0.3702567444
177	0.369732666
178	0.3693374329
179	0.3692518311
180	0.3687752075
181	0.368336853
182	0.3679332275
183	0.3674360352
184	0.3673111267
185	0.366940918
186	0.3666473694
187	0.3662588196
188	0.3658790894
189	0.3657644043
190	0.3654777222
191	0.3651637268
192	0.3649397888
193	0.3645218506
194	0.3640673523
195	0.3636854858
196	0.3632110596
197	0.3626220398
198	0.3620002441
199	0.3614345703
200	0.3612590332
201	0.3611068726
202	0.3606159668
203	0.3600254517
204	0.3594910889
205	0.3590489197
206	0.3587208862
207	0.3584043884
208	0.358088501
209	0.3577305298
210	0.3572894287
211	0.3568731689
212	0.356374176
213	0.3560529175
214	0.3556748352
215	0.3553562622
216	0.3549346924
217	0.3545669556
218	0.3541365967
219	0.3534662781
220	0.3531624756
221	0.3527814941
222	0.3526943054
223	0.3523257446
224	0.3522633972
225	0.3518882446
226	0.3513250427
227	0.3508908081
228	0.3506038818
229	0.3501828613
230	0.3497462158
231	0.349244873
232	0.3486911011
233	0.348150238
234	0.3476846924
235	0.3476029053
236	0.3471154785
237	0.346612915
238	0.3462661133
239	0.3460057983
240	0.3454985352
241	0.3451638794
242	0.3449230957
243	0.3444003601
244	0.3441376038
245	0.3437857056
246	0.3437453918
247	0.3437043457
248	0.3432265015
249	0.3427963867
250	0.3423738708
251	0.3420332642
252	0.341448761
253	0.3408621216
254	0.3404079285
255	0.3399491577
256	0.33950354
257	0.3392432251
258	0.3387299805
259	0.3382083435
260	0.3378362427
261	0.3373794556
262	0.3369899902
263	0.3369530945
264	0.3364674377
265	0.3360620117
266	0.3356563416
267	0.3353922424
268	0.3350101929
269	0.334568512
270	0.3341141968
271	0.3339632874
272	0.3333970947
273	0.3330913696
274	0.3326018982
275	0.3323406982
276	0.3319569702
277	0.3317518005
278	0.3313109741
279	0.3309730225
280	0.3306532898
281	0.3306062012
282	0.3301459351
283	0.3296661987
284	0.3293846436
285	0.3290851746
286	0.3288777161
287	0.3283620911
288	0.3280026245
289	0.3274859314
290	0.3270823059
291	0.3267536621
292	0.3262488708
293	0.3262194824
294	0.325938324
295	0.3254798279
296	0.3251079102
297	0.3249029846
298	0.3245783081
299	0.3242178345
